season,season_week,week_start_date,denv1_cases,denv2_cases,denv3_cases,denv4_cases,other_positive_cases,additional_cases,total_cases
1999/2000,11,7/9/1999,0,0,0,0,14,0,14
1999/2000,12,7/16/1999,0,1,1,0,11,0,13
1999/2000,13,7/23/1999,0,0,2,0,13,0,15
1999/2000,14,7/30/1999,0,5,3,0,22,0,30
1999/2000,15,8/6/1999,0,1,5,0,19,0,25
1999/2000,16,8/13/1999,1,1,2,0,36,0,40
1999/2000,17,8/20/1999,1,3,8,1,31,0,44
1999/2000,18,8/27/1999,0,0,4,1,20,0,25
1999/2000,19,9/3/1999,1,1,1,0,18,0,21
1999/2000,20,9/10/1999,1,4,9,1,33,0,48
1999/2000,21,9/17/1999,1,7,5,0,43,0,56
1999/2000,22,9/24/1999,2,1,5,0,52,0,60
1999/2000,23,10/1/1999,1,1,5,1,37,0,45
1999/2000,24,10/8/1999,1,1,3,1,49,0,55
1999/2000,25,10/15/1999,0,2,2,1,27,0,32
1999/2000,26,10/22/1999,1,3,4,0,38,0,46
1999/2000,27,10/29/1999,0,6,9,0,46,0,61
1999/2000,28,11/5/1999,1,2,6,0,33,0,42
1999/2000,29,11/12/1999,1,0,0,0,36,0,37
1999/2000,30,11/19/1999,0,1,6,0,36,0,43
1999/2000,31,11/26/1999,1,0,4,0,29,0,34
1999/2000,32,12/3/1999,0,3,4,0,33,0,40
1999/2000,33,12/10/1999,0,0,1,0,24,0,25
1999/2000,34,12/17/1999,1,3,2,0,10,0,16
1999/2000,35,12/24/1999,0,0,7,0,10,0,17
1999/2000,36,1/1/2000,0,0,1,0,16,0,17
1999/2000,37,1/8/2000,0,0,1,0,15,0,16
1999/2000,38,1/15/2000,1,1,3,0,18,0,23
1999/2000,39,1/22/2000,0,0,1,0,16,1,18
1999/2000,40,1/29/2000,1,0,0,0,16,1,18
1999/2000,41,2/5/2000,0,0,2,0,7,0,9
1999/2000,42,2/12/2000,0,0,1,0,6,0,7
1999/2000,43,2/19/2000,0,0,1,0,6,0,7
1999/2000,44,2/26/2000,0,0,0,0,4,0,4
1999/2000,45,3/4/2000,0,0,2,0,1,0,3
1999/2000,46,3/11/2000,0,0,1,0,1,0,2
1999/2000,47,3/18/2000,0,0,2,0,6,0,8
1999/2000,48,3/25/2000,0,0,0,0,3,0,3
1999/2000,49,4/1/2000,0,0,0,0,1,0,1
1999/2000,50,4/8/2000,0,0,0,0,1,0,1
1999/2000,51,4/15/2000,0,0,0,0,2,0,2
1999/2000,52,4/22/2000,0,0,0,0,2,1,3
2000/2001,1,4/29/2000,0,0,0,0,2,1,3
2000/2001,2,5/6/2000,0,0,0,0,2,0,2
2000/2001,3,5/13/2000,0,0,0,0,0,0,0
2000/2001,4,5/20/2000,0,0,0,0,0,0,0
2000/2001,5,5/27/2000,0,0,1,0,1,0,2
2000/2001,6,6/3/2000,0,0,0,0,1,1,2
2000/2001,7,6/10/2000,0,0,0,0,0,0,0
2000/2001,8,6/17/2000,0,0,1,0,3,2,6
2000/2001,9,6/24/2000,0,0,0,0,2,1,3
2000/2001,10,7/1/2000,0,0,1,0,5,0,6
2000/2001,11,7/8/2000,0,0,1,0,1,0,2
2000/2001,12,7/15/2000,0,0,0,0,3,0,3
2000/2001,13,7/22/2000,0,0,0,0,2,0,2
2000/2001,14,7/29/2000,0,0,0,0,4,0,4
2000/2001,15,8/5/2000,0,0,1,0,3,1,5
2000/2001,16,8/12/2000,0,0,1,0,1,0,2
2000/2001,17,8/19/2000,0,2,3,0,4,0,9
2000/2001,18,8/26/2000,0,0,1,0,1,0,2
2000/2001,19,9/2/2000,0,0,1,0,2,1,4
2000/2001,20,9/9/2000,0,2,2,0,3,1,8
2000/2001,21,9/16/2000,0,0,2,0,4,0,6
2000/2001,22,9/23/2000,0,0,3,0,0,0,3
2000/2001,23,9/30/2000,0,0,5,0,6,0,11
2000/2001,24,10/7/2000,0,0,3,0,8,3,14
2000/2001,25,10/14/2000,0,0,5,0,5,5,15
2000/2001,26,10/21/2000,0,0,6,0,10,4,20
2000/2001,27,10/28/2000,0,1,3,0,5,0,9
2000/2001,28,11/4/2000,0,0,7,0,11,2,20
2000/2001,29,11/11/2000,0,0,16,0,9,3,28
2000/2001,30,11/18/2000,0,1,9,0,21,7,38
2000/2001,31,11/25/2000,0,0,13,0,14,3,30
2000/2001,32,12/2/2000,0,1,11,0,16,2,30
2000/2001,33,12/9/2000,0,0,10,0,12,1,23
2000/2001,34,12/16/2000,0,0,4,0,12,0,16
2000/2001,35,12/23/2000,0,0,4,0,16,2,22
2000/2001,36,1/1/2001,0,0,10,0,16,2,28
2000/2001,37,1/8/2001,0,0,4,0,7,3,14
2000/2001,38,1/15/2001,0,0,7,0,9,1,17
2000/2001,39,1/22/2001,0,0,7,0,12,1,20
2000/2001,40,1/29/2001,0,1,6,0,9,1,17
2000/2001,41,2/5/2001,0,0,6,0,3,1,10
2000/2001,42,2/12/2001,0,0,7,0,5,1,13
2000/2001,43,2/19/2001,0,0,6,0,10,4,20
2000/2001,44,2/26/2001,0,0,2,0,6,1,9
2000/2001,45,3/5/2001,0,0,7,0,7,4,18
2000/2001,46,3/12/2001,0,1,3,0,5,0,9
2000/2001,47,3/19/2001,0,0,1,0,4,3,8
2000/2001,48,3/26/2001,0,0,2,0,14,3,19
2000/2001,49,4/2/2001,0,0,5,0,4,2,11
2000/2001,50,4/9/2001,0,0,0,0,3,1,4
2000/2001,51,4/16/2001,0,0,0,0,5,1,6
2000/2001,52,4/23/2001,0,0,2,0,4,0,6
2001/2002,1,4/30/2001,0,0,0,0,7,1,8
2001/2002,2,5/7/2001,0,3,3,0,6,1,13
2001/2002,3,5/14/2001,0,0,2,0,5,1,8
2001/2002,4,5/21/2001,0,1,1,0,5,1,8
2001/2002,5,5/28/2001,0,0,3,0,2,0,5
2001/2002,6,6/4/2001,0,0,8,0,4,4,16
2001/2002,7,6/11/2001,0,0,7,0,4,1,12
2001/2002,8,6/18/2001,0,0,5,0,4,2,11
2001/2002,9,6/25/2001,0,0,4,0,11,3,18
2001/2002,10,7/2/2001,0,1,3,0,5,1,10
2001/2002,11,7/9/2001,0,0,4,0,13,5,22
2001/2002,12,7/16/2001,0,0,2,0,12,0,14
2001/2002,13,7/23/2001,0,0,5,0,9,2,16
2001/2002,14,7/30/2001,0,0,8,0,10,0,18
2001/2002,15,8/6/2001,0,1,5,0,15,6,27
2001/2002,16,8/13/2001,0,0,4,0,28,6,38
2001/2002,17,8/20/2001,0,0,12,0,20,3,35
2001/2002,18,8/27/2001,0,1,10,0,26,4,41
2001/2002,19,9/3/2001,0,0,6,0,38,7,51
2001/2002,20,9/10/2001,0,0,10,0,45,10,65
2001/2002,21,9/17/2001,0,0,8,0,40,7,55
2001/2002,22,9/24/2001,0,2,13,0,37,2,54
2001/2002,23,10/1/2001,0,0,12,0,43,7,62
2001/2002,24,10/8/2001,0,0,7,0,51,6,64
2001/2002,25,10/15/2001,0,0,8,0,45,3,56
2001/2002,26,10/22/2001,0,1,14,0,45,5,65
2001/2002,27,10/29/2001,0,0,10,0,55,6,71
2001/2002,28,11/5/2001,0,0,13,0,57,5,75
2001/2002,29,11/12/2001,0,0,22,0,41,8,71
2001/2002,30,11/19/2001,0,3,13,0,47,9,72
2001/2002,31,11/26/2001,0,0,10,0,33,4,47
2001/2002,32,12/3/2001,0,1,10,0,11,5,27
2001/2002,33,12/10/2001,0,2,15,0,16,2,35
2001/2002,34,12/17/2001,0,2,8,0,12,3,25
2001/2002,35,12/24/2001,0,1,9,0,8,1,19
2001/2002,36,1/1/2002,0,1,12,0,22,2,37
2001/2002,37,1/8/2002,0,1,10,0,21,6,38
2001/2002,38,1/15/2002,0,0,12,0,18,4,34
2001/2002,39,1/22/2002,0,1,6,0,15,4,26
2001/2002,40,1/29/2002,0,0,6,0,10,3,19
2001/2002,41,2/5/2002,0,0,5,0,13,0,18
2001/2002,42,2/12/2002,0,0,7,0,13,2,22
2001/2002,43,2/19/2002,0,0,5,0,9,2,16
2001/2002,44,2/26/2002,0,0,5,0,10,3,18
2001/2002,45,3/5/2002,0,0,2,0,4,0,6
2001/2002,46,3/12/2002,0,0,3,0,8,1,12
2001/2002,47,3/19/2002,0,0,3,0,3,0,6
2001/2002,48,3/26/2002,0,0,2,0,4,0,6
2001/2002,49,4/2/2002,0,0,1,0,2,0,3
2001/2002,50,4/9/2002,0,0,3,0,3,1,7
2001/2002,51,4/16/2002,0,0,0,0,4,2,6
2001/2002,52,4/23/2002,0,0,0,0,1,0,1
2002/2003,1,4/30/2002,0,0,1,0,2,0,3
2002/2003,2,5/7/2002,0,0,1,0,1,0,2
2002/2003,3,5/14/2002,0,0,0,0,2,0,2
2002/2003,4,5/21/2002,0,0,0,0,1,0,1
2002/2003,5,5/28/2002,0,0,2,0,6,2,10
2002/2003,6,6/4/2002,0,0,0,0,2,1,3
2002/2003,7,6/11/2002,0,0,1,0,2,0,3
2002/2003,8,6/18/2002,0,0,0,0,1,0,1
2002/2003,9,6/25/2002,0,0,0,0,0,1,1
2002/2003,10,7/2/2002,0,0,0,0,2,0,2
2002/2003,11,7/9/2002,0,0,0,0,6,0,6
2002/2003,12,7/16/2002,0,0,3,0,0,0,3
2002/2003,13,7/23/2002,0,0,1,0,2,0,3
2002/2003,14,7/30/2002,0,0,3,0,1,1,5
2002/2003,15,8/6/2002,0,1,1,0,2,0,4
2002/2003,16,8/13/2002,0,0,1,0,6,0,7
2002/2003,17,8/20/2002,0,0,2,0,3,1,6
2002/2003,18,8/27/2002,0,0,3,0,1,1,5
2002/2003,19,9/3/2002,0,0,4,0,3,0,7
2002/2003,20,9/10/2002,0,0,4,0,2,0,6
2002/2003,21,9/17/2002,0,0,2,0,1,1,4
2002/2003,22,9/24/2002,0,0,1,0,2,1,4
2002/2003,23,10/1/2002,0,0,1,0,2,4,7
2002/2003,24,10/8/2002,0,0,1,0,8,0,9
2002/2003,25,10/15/2002,0,0,1,0,4,0,5
2002/2003,26,10/22/2002,0,0,1,0,3,1,5
2002/2003,27,10/29/2002,0,0,1,0,7,2,10
2002/2003,28,11/5/2002,0,0,2,0,4,0,6
2002/2003,29,11/12/2002,0,0,2,0,10,1,13
2002/2003,30,11/19/2002,0,0,0,0,6,0,6
2002/2003,31,11/26/2002,0,0,0,0,2,3,5
2002/2003,32,12/3/2002,0,0,2,0,3,0,5
2002/2003,33,12/10/2002,0,0,4,0,5,0,9
2002/2003,34,12/17/2002,0,0,1,0,2,0,3
2002/2003,35,12/24/2002,0,1,0,0,4,1,6
2002/2003,36,1/1/2003,0,2,1,0,8,0,11
2002/2003,37,1/8/2003,0,1,1,0,5,0,7
2002/2003,38,1/15/2003,0,0,1,0,5,1,7
2002/2003,39,1/22/2003,0,0,1,0,12,2,15
2002/2003,40,1/29/2003,0,1,1,0,7,0,9
2002/2003,41,2/5/2003,0,0,1,0,4,1,6
2002/2003,42,2/12/2003,0,0,2,0,4,0,6
2002/2003,43,2/19/2003,0,0,3,0,3,0,6
2002/2003,44,2/26/2003,0,0,2,0,5,0,7
2002/2003,45,3/5/2003,0,0,2,0,7,1,10
2002/2003,46,3/12/2003,0,0,1,0,7,0,8
2002/2003,47,3/19/2003,0,0,5,0,2,0,7
2002/2003,48,3/26/2003,0,1,2,0,7,2,12
2002/2003,49,4/2/2003,0,0,0,0,3,0,3
2002/2003,50,4/9/2003,0,0,0,0,2,0,2
2002/2003,51,4/16/2003,1,2,1,0,3,0,7
2002/2003,52,4/23/2003,0,1,2,0,2,0,5
2003/2004,1,4/30/2003,0,0,1,0,4,0,5
2003/2004,2,5/7/2003,0,0,2,0,5,0,7
2003/2004,3,5/14/2003,0,0,3,0,4,0,7
2003/2004,4,5/21/2003,0,0,2,0,5,0,7
2003/2004,5,5/28/2003,0,0,4,0,3,0,7
2003/2004,6,6/4/2003,0,0,3,0,6,1,10
2003/2004,7,6/11/2003,0,0,9,0,3,1,13
2003/2004,8,6/18/2003,0,1,4,0,5,0,10
2003/2004,9,6/25/2003,0,2,2,0,10,0,14
2003/2004,10,7/2/2003,0,0,2,0,9,0,11
2003/2004,11,7/9/2003,0,0,0,0,18,2,20
2003/2004,12,7/16/2003,0,0,0,0,22,3,25
2003/2004,13,7/23/2003,0,0,2,0,15,0,17
2003/2004,14,7/30/2003,0,0,3,0,13,2,18
2003/2004,15,8/6/2003,0,1,9,0,15,0,25
2003/2004,16,8/13/2003,0,2,5,0,13,1,21
2003/2004,17,8/20/2003,0,0,9,0,20,2,31
2003/2004,18,8/27/2003,0,2,7,0,22,1,32
2003/2004,19,9/3/2003,0,1,3,0,21,1,26
2003/2004,20,9/10/2003,0,2,5,0,25,3,35
2003/2004,21,9/17/2003,0,0,5,0,19,4,28
2003/2004,22,9/24/2003,0,2,10,0,24,1,37
2003/2004,23,10/1/2003,0,1,10,0,29,1,41
2003/2004,24,10/8/2003,0,0,6,0,26,2,34
2003/2004,25,10/15/2003,0,0,9,0,19,2,30
2003/2004,26,10/22/2003,0,0,10,0,27,2,39
2003/2004,27,10/29/2003,0,4,9,0,24,2,39
2003/2004,28,11/5/2003,0,1,4,0,27,7,39
2003/2004,29,11/12/2003,0,0,2,0,28,4,34
2003/2004,30,11/19/2003,0,0,3,0,19,8,30
2003/2004,31,11/26/2003,0,0,2,0,23,12,37
2003/2004,32,12/3/2003,0,1,6,0,17,5,29
2003/2004,33,12/10/2003,0,2,4,0,15,5,26
2003/2004,34,12/17/2003,0,2,1,0,7,5,15
2003/2004,35,12/24/2003,0,2,6,0,8,6,22
2003/2004,36,1/1/2004,0,3,2,0,8,2,15
2003/2004,37,1/8/2004,0,1,5,0,10,4,20
2003/2004,38,1/15/2004,0,1,4,0,6,3,14
2003/2004,39,1/22/2004,0,2,2,0,6,0,10
2003/2004,40,1/29/2004,0,0,6,0,14,1,21
2003/2004,41,2/5/2004,0,1,3,0,5,5,14
2003/2004,42,2/12/2004,0,0,4,0,8,2,14
2003/2004,43,2/19/2004,0,0,4,0,4,1,9
2003/2004,44,2/26/2004,0,2,4,0,5,0,11
2003/2004,45,3/4/2004,0,1,1,0,3,0,5
2003/2004,46,3/11/2004,0,2,1,0,3,0,6
2003/2004,47,3/18/2004,0,0,1,0,6,0,7
2003/2004,48,3/25/2004,0,3,3,0,5,0,11
2003/2004,49,4/1/2004,0,0,0,0,4,0,4
2003/2004,50,4/8/2004,0,1,1,0,1,0,3
2003/2004,51,4/15/2004,0,0,1,0,1,0,2
2003/2004,52,4/22/2004,0,2,1,0,2,1,6
2004/2005,1,4/29/2004,0,3,2,0,4,1,10
2004/2005,2,5/6/2004,0,1,0,0,5,1,7
2004/2005,3,5/13/2004,0,1,2,0,2,0,5
2004/2005,4,5/20/2004,0,0,0,0,3,0,3
2004/2005,5,5/27/2004,0,1,3,0,7,1,12
2004/2005,6,6/3/2004,0,1,0,0,11,1,13
2004/2005,7,6/10/2004,0,0,1,0,9,0,10
2004/2005,8,6/17/2004,0,2,3,0,6,2,13
2004/2005,9,6/24/2004,0,2,1,0,8,2,13
2004/2005,10,7/1/2004,0,0,3,0,5,0,8
2004/2005,11,7/8/2004,0,1,1,0,17,2,21
2004/2005,12,7/15/2004,0,2,1,0,15,0,18
2004/2005,13,7/22/2004,0,0,0,0,8,0,8
2004/2005,14,7/29/2004,0,1,1,0,5,0,7
2004/2005,15,8/5/2004,0,5,1,0,14,0,20
2004/2005,16,8/12/2004,0,1,1,0,12,0,14
2004/2005,17,8/19/2004,0,4,2,0,8,0,14
2004/2005,18,8/26/2004,0,3,2,0,2,0,7
2004/2005,19,9/2/2004,0,3,1,0,8,2,14
2004/2005,20,9/9/2004,0,2,1,0,7,0,10
2004/2005,21,9/16/2004,0,1,2,0,6,4,13
2004/2005,22,9/23/2004,0,4,2,0,18,3,27
2004/2005,23,9/30/2004,0,2,1,0,9,1,13
2004/2005,24,10/7/2004,0,5,2,0,10,1,18
2004/2005,25,10/14/2004,0,2,3,0,10,1,16
2004/2005,26,10/21/2004,0,4,1,0,8,3,16
2004/2005,27,10/28/2004,0,4,3,0,13,0,20
2004/2005,28,11/4/2004,0,3,2,0,11,1,17
2004/2005,29,11/11/2004,0,1,1,0,2,0,4
2004/2005,30,11/18/2004,0,3,0,0,11,1,15
2004/2005,31,11/25/2004,0,1,0,0,6,1,8
2004/2005,32,12/2/2004,0,1,0,0,5,0,6
2004/2005,33,12/9/2004,0,1,1,0,10,0,12
2004/2005,34,12/16/2004,0,2,1,0,12,0,15
2004/2005,35,12/23/2004,0,3,1,0,7,0,11
2004/2005,36,1/1/2005,0,2,2,0,5,1,10
2004/2005,37,1/8/2005,0,5,0,0,8,2,15
2004/2005,38,1/15/2005,0,2,2,0,12,1,17
2004/2005,39,1/22/2005,0,3,1,0,2,1,7
2004/2005,40,1/29/2005,0,2,1,0,4,0,7
2004/2005,41,2/5/2005,0,2,0,0,6,0,8
2004/2005,42,2/12/2005,0,3,1,0,5,0,9
2004/2005,43,2/19/2005,0,1,0,0,10,1,12
2004/2005,44,2/26/2005,0,2,0,0,9,1,12
2004/2005,45,3/5/2005,0,1,0,0,4,0,5
2004/2005,46,3/12/2005,0,1,1,0,2,0,4
2004/2005,47,3/19/2005,0,1,0,0,8,2,11
2004/2005,48,3/26/2005,0,1,0,0,3,0,4
2004/2005,49,4/2/2005,0,1,0,0,3,1,5
2004/2005,50,4/9/2005,0,3,0,0,4,0,7
2004/2005,51,4/16/2005,0,0,0,0,1,0,1
2004/2005,52,4/23/2005,0,1,0,0,0,0,1
2005/2006,1,4/30/2005,0,2,0,0,2,0,4
2005/2006,2,5/7/2005,0,0,0,0,1,1,2
2005/2006,3,5/14/2005,0,3,0,0,2,1,6
2005/2006,4,5/21/2005,0,0,0,0,3,0,3
2005/2006,5,5/28/2005,0,1,0,0,3,0,4
2005/2006,6,6/4/2005,0,3,1,0,6,0,10
2005/2006,7,6/11/2005,0,3,0,0,9,0,12
2005/2006,8,6/18/2005,0,6,1,0,13,1,21
2005/2006,9,6/25/2005,0,8,0,0,15,3,26
2005/2006,10,7/2/2005,0,6,1,0,13,1,21
2005/2006,11,7/9/2005,0,6,0,0,21,3,30
2005/2006,12,7/16/2005,0,5,0,0,37,3,45
2005/2006,13,7/23/2005,0,5,1,0,45,5,56
2005/2006,14,7/30/2005,0,9,2,0,60,4,75
2005/2006,15,8/6/2005,0,20,1,0,58,4,83
2005/2006,16,8/13/2005,0,12,2,0,60,8,82
2005/2006,17,8/20/2005,0,13,3,0,93,17,126
2005/2006,18,8/27/2005,0,17,1,0,80,21,119
2005/2006,19,9/3/2005,0,20,7,0,92,18,137
2005/2006,20,9/10/2005,0,30,3,0,88,10,131
2005/2006,21,9/17/2005,0,27,2,0,71,12,112
2005/2006,22,9/24/2005,0,14,6,0,54,8,82
2005/2006,23,10/1/2005,0,15,2,0,53,3,73
2005/2006,24,10/8/2005,0,7,2,0,33,1,43
2005/2006,25,10/15/2005,0,9,2,0,44,0,55
2005/2006,26,10/22/2005,0,16,4,1,32,2,55
2005/2006,27,10/29/2005,0,8,4,0,39,2,53
2005/2006,28,11/5/2005,0,9,0,0,34,3,46
2005/2006,29,11/12/2005,0,8,0,0,28,7,43
2005/2006,30,11/19/2005,0,4,0,0,25,0,29
2005/2006,31,11/26/2005,0,8,2,0,12,0,22
2005/2006,32,12/3/2005,0,12,1,0,11,2,26
2005/2006,33,12/10/2005,0,6,0,0,7,0,13
2005/2006,34,12/17/2005,0,10,1,0,6,0,17
2005/2006,35,12/24/2005,0,3,0,0,5,0,8
2005/2006,36,1/1/2006,0,4,1,0,8,0,13
2005/2006,37,1/8/2006,0,3,0,0,7,0,10
2005/2006,38,1/15/2006,0,8,0,0,8,1,17
2005/2006,39,1/22/2006,0,11,2,0,6,0,19
2005/2006,40,1/29/2006,0,4,1,0,4,0,9
2005/2006,41,2/5/2006,0,3,1,0,4,1,9
2005/2006,42,2/12/2006,0,4,1,0,4,0,9
2005/2006,43,2/19/2006,0,2,1,0,0,0,3
2005/2006,44,2/26/2006,0,6,0,0,0,1,7
2005/2006,45,3/5/2006,0,2,2,0,3,0,7
2005/2006,46,3/12/2006,0,0,0,0,0,0,0
2005/2006,47,3/19/2006,0,0,0,0,1,1,2
2005/2006,48,3/26/2006,0,1,1,0,1,0,3
2005/2006,49,4/2/2006,0,2,0,0,1,0,3
2005/2006,50,4/9/2006,0,0,1,0,0,0,1
2005/2006,51,4/16/2006,0,1,0,0,2,0,3
2005/2006,52,4/23/2006,0,2,0,0,1,0,3
2006/2007,1,4/30/2006,0,2,0,0,1,0,3
2006/2007,2,5/7/2006,0,2,0,0,4,1,7
2006/2007,3,5/14/2006,0,1,0,0,2,0,3
2006/2007,4,5/21/2006,0,1,0,0,3,1,5
2006/2007,5,5/28/2006,0,3,2,0,5,1,11
2006/2007,6,6/4/2006,0,1,0,0,4,0,5
2006/2007,7,6/11/2006,0,1,0,0,4,0,5
2006/2007,8,6/18/2006,0,3,1,0,2,0,6
2006/2007,9,6/25/2006,0,2,1,0,3,0,6
2006/2007,10,7/2/2006,0,0,0,0,4,0,4
2006/2007,11,7/9/2006,0,3,0,0,1,0,4
2006/2007,12,7/16/2006,0,2,0,0,6,0,8
2006/2007,13,7/23/2006,0,6,4,0,4,0,14
2006/2007,14,7/30/2006,0,3,3,0,6,0,12
2006/2007,15,8/6/2006,0,7,0,0,8,1,16
2006/2007,16,8/13/2006,0,2,0,0,8,0,10
2006/2007,17,8/20/2006,0,5,3,0,8,0,16
2006/2007,18,8/27/2006,0,4,5,0,7,2,18
2006/2007,19,9/3/2006,0,5,1,1,6,2,15
2006/2007,20,9/10/2006,0,3,7,0,12,1,23
2006/2007,21,9/17/2006,0,7,4,0,6,0,17
2006/2007,22,9/24/2006,0,12,6,0,13,2,33
2006/2007,23,10/1/2006,0,4,3,0,8,0,15
2006/2007,24,10/8/2006,0,4,5,0,3,1,13
2006/2007,25,10/15/2006,0,5,2,0,4,0,11
2006/2007,26,10/22/2006,1,6,2,0,4,1,14
2006/2007,27,10/29/2006,0,1,5,0,11,0,17
2006/2007,28,11/5/2006,0,5,5,0,8,1,19
2006/2007,29,11/12/2006,0,5,4,1,9,1,20
2006/2007,30,11/19/2006,0,4,1,0,7,0,12
2006/2007,31,11/26/2006,0,6,6,0,9,0,21
2006/2007,32,12/3/2006,0,3,3,0,1,0,7
2006/2007,33,12/10/2006,0,2,6,0,10,1,19
2006/2007,34,12/17/2006,0,2,4,0,2,2,10
2006/2007,35,12/24/2006,0,2,5,0,5,1,13
2006/2007,36,1/1/2007,0,1,5,0,4,0,10
2006/2007,37,1/8/2007,0,1,2,0,3,2,8
2006/2007,38,1/15/2007,0,3,6,0,10,2,21
2006/2007,39,1/22/2007,0,5,1,1,3,1,11
2006/2007,40,1/29/2007,0,2,2,0,4,1,9
2006/2007,41,2/5/2007,0,4,5,0,5,0,14
2006/2007,42,2/12/2007,0,6,4,0,4,0,14
2006/2007,43,2/19/2007,0,3,7,0,5,0,15
2006/2007,44,2/26/2007,0,4,8,0,5,1,18
2006/2007,45,3/5/2007,0,3,7,0,6,0,16
2006/2007,46,3/12/2007,0,5,0,0,6,1,12
2006/2007,47,3/19/2007,0,7,4,0,8,1,20
2006/2007,48,3/26/2007,0,3,1,0,4,0,8
2006/2007,49,4/2/2007,0,0,1,0,2,0,3
2006/2007,50,4/9/2007,0,2,2,0,8,1,13
2006/2007,51,4/16/2007,0,1,1,0,2,0,4
2006/2007,52,4/23/2007,0,0,0,0,1,0,1
2007/2008,1,4/30/2007,0,6,0,0,4,0,10
2007/2008,2,5/7/2007,0,3,3,0,2,0,8
2007/2008,3,5/14/2007,0,0,6,0,7,0,13
2007/2008,4,5/21/2007,0,0,4,0,6,0,10
2007/2008,5,5/28/2007,0,1,13,0,6,1,21
2007/2008,6,6/4/2007,0,3,7,0,7,1,18
2007/2008,7,6/11/2007,0,4,7,0,9,1,21
2007/2008,8,6/18/2007,0,6,13,0,12,3,34
2007/2008,9,6/25/2007,0,4,4,1,13,3,25
2007/2008,10,7/2/2007,2,3,9,0,18,2,34
2007/2008,11,7/9/2007,1,6,11,1,11,3,33
2007/2008,12,7/16/2007,2,7,21,0,9,1,40
2007/2008,13,7/23/2007,5,10,20,0,6,1,42
2007/2008,14,7/30/2007,0,3,23,0,7,3,36
2007/2008,15,8/6/2007,2,9,35,0,23,3,72
2007/2008,16,8/13/2007,8,14,28,2,21,2,75
2007/2008,17,8/20/2007,5,14,34,3,19,1,76
2007/2008,18,8/27/2007,7,6,53,5,16,5,92
2007/2008,19,9/3/2007,6,14,34,1,12,4,71
2007/2008,20,9/10/2007,10,13,58,1,26,4,112
2007/2008,21,9/17/2007,9,6,52,0,37,2,106
2007/2008,22,9/24/2007,6,15,48,1,27,4,101
2007/2008,23,10/1/2007,13,23,74,3,45,12,170
2007/2008,24,10/8/2007,7,19,59,0,45,5,135
2007/2008,25,10/15/2007,10,13,41,0,37,5,106
2007/2008,26,10/22/2007,7,6,25,3,20,7,68
2007/2008,27,10/29/2007,2,4,8,0,29,5,48
2007/2008,28,11/5/2007,2,5,27,0,12,2,48
2007/2008,29,11/12/2007,0,0,9,0,15,2,26
2007/2008,30,11/19/2007,1,2,8,0,17,5,33
2007/2008,31,11/26/2007,3,0,10,0,16,0,29
2007/2008,32,12/3/2007,1,1,4,0,11,0,17
2007/2008,33,12/10/2007,0,0,1,0,10,1,12
2007/2008,34,12/17/2007,2,0,1,1,9,0,13
2007/2008,35,12/24/2007,1,0,1,1,12,2,17
2007/2008,36,1/1/2008,0,2,2,0,11,0,15
2007/2008,37,1/8/2008,1,1,6,0,6,0,14
2007/2008,38,1/15/2008,2,0,5,0,8,0,15
2007/2008,39,1/22/2008,1,0,6,0,3,0,10
2007/2008,40,1/29/2008,1,0,2,0,6,0,9
2007/2008,41,2/5/2008,1,0,0,0,1,0,2
2007/2008,42,2/12/2008,1,0,1,0,4,0,6
2007/2008,43,2/19/2008,1,0,1,0,6,0,8
2007/2008,44,2/26/2008,1,0,1,0,3,0,5
2007/2008,45,3/4/2008,1,0,0,0,0,0,1
2007/2008,46,3/11/2008,1,0,0,0,1,0,2
2007/2008,47,3/18/2008,0,0,2,0,1,0,3
2007/2008,48,3/25/2008,0,1,1,0,2,0,4
2007/2008,49,4/1/2008,0,0,0,0,2,1,3
2007/2008,50,4/8/2008,0,0,0,0,1,0,1
2007/2008,51,4/15/2008,0,1,2,0,0,0,3
2007/2008,52,4/22/2008,2,0,1,0,2,0,5
2008/2009,1,4/29/2008,0,0,1,0,1,0,2
2008/2009,2,5/6/2008,1,0,0,0,2,0,3
2008/2009,3,5/13/2008,0,0,0,0,2,0,2
2008/2009,4,5/20/2008,1,0,0,0,2,0,3
2008/2009,5,5/27/2008,1,0,0,0,1,0,2
2008/2009,6,6/3/2008,0,0,0,0,2,0,2
2008/2009,7,6/10/2008,0,1,1,0,1,0,3
2008/2009,8,6/17/2008,0,0,2,0,2,0,4
2008/2009,9,6/24/2008,0,0,0,0,3,0,3
2008/2009,10,7/1/2008,2,0,1,0,1,0,4
2008/2009,11,7/8/2008,0,0,1,0,3,0,4
2008/2009,12,7/15/2008,3,0,1,0,0,0,4
2008/2009,13,7/22/2008,2,0,0,0,5,0,7
2008/2009,14,7/29/2008,1,1,1,0,3,0,6
2008/2009,15,8/5/2008,3,0,2,0,10,0,15
2008/2009,16,8/12/2008,3,1,0,0,7,0,11
2008/2009,17,8/19/2008,1,1,0,1,6,0,9
2008/2009,18,8/26/2008,1,0,1,0,7,0,9
2008/2009,19,9/2/2008,3,0,2,0,7,0,12
2008/2009,20,9/9/2008,3,0,4,0,6,0,13
2008/2009,21,9/16/2008,1,0,1,0,11,0,13
2008/2009,22,9/23/2008,1,0,1,0,11,0,13
